date,ticker,close_price
2023-12-14,GGOV,14.70
2023-12-14,A123,123.33
2023-12-14,ETHI,13.04
2023-12-14,CYBR,10.88
2023-12-14,BBOZ,3.25
2023-12-14,NDQ,37.66
2023-12-14,GEAR,25.74
2023-12-14,AAA,50.16
2023-12-15,BGBL,56.61
2023-12-15,GGOV,14.90
2023-12-15,A123,124.25
2023-12-15,ETHI,13.08
2023-12-15,CYBR,10.86
2023-12-15,NDQ,37.43
2023-12-15,BBOZ,3.19
2023-12-15,GEAR,26.22
2023-12-15,AAA,50.17
2023-12-18,BGBL,56.49
2023-12-18,GGOV,15.04
2023-12-18,A123,124.06
2023-12-18,ETHI,13.08
2023-12-18,CYBR,10.96
2023-12-18,NDQ,37.61
2023-12-18,BBOZ,3.20
2023-12-18,GEAR,26.11
2023-12-18,AAA,50.18
2023-12-19,BGBL,56.59
2023-12-19,GGOV,14.95
2023-12-19,A123,125.15
2023-12-19,ETHI,13.06
2023-12-19,CYBR,11.00
2023-12-19,NDQ,37.72
2023-12-19,BBOZ,3.14
2023-12-19,GEAR,26.53
2023-12-19,AAA,50.19
2023-12-20,BGBL,56.60
2023-12-20,GGOV,15.01
2023-12-20,A123,125.93
2023-12-20,ETHI,13.05
2023-12-20,CYBR,11.01
2023-12-20,BBOZ,3.09
2023-12-20,NDQ,37.70
2023-12-20,GEAR,26.96
2023-12-20,AAA,50.20
2023-12-21,BGBL,56.12
2023-12-21,GGOV,15.09
2023-12-21,A123,125.34
2023-12-21,ETHI,12.90
2023-12-21,CYBR,10.90
2023-12-21,NDQ,37.39
2023-12-21,BBOZ,3.13
2023-12-21,GEAR,26.68
2023-12-21,AAA,50.21
2023-12-22,BGBL,56.17
2023-12-22,GGOV,14.95
2023-12-22,ETHI,12.90
2023-12-22,A123,125.31
2023-12-22,CYBR,10.84
2023-12-22,NDQ,37.38
2023-12-22,BBOZ,3.13
2023-12-22,GEAR,26.65
2023-12-22,AAA,50.21
2023-12-27,BGBL,56.26
2023-12-27,GGOV,14.98
2023-12-27,A123,126.35
2023-12-27,ETHI,12.90
2023-12-27,CYBR,10.89
2023-12-27,NDQ,37.45
2023-12-27,BBOZ,3.06
2023-12-27,GEAR,27.14
2023-12-27,AAA,50.24
2023-12-28,A123,127.42
2023-12-28,AAA,50.25
2023-12-28,BBOZ,3.01
2023-12-28,BGBL,56.41
2023-12-28,ETHI,12.98
2023-12-28,GEAR,27.63
2023-12-28,GGOV,15.17
2023-12-28,CYBR,10.90
2023-12-28,NDQ,37.54
2023-12-29,A123,126.93
2023-12-29,AAA,50.26
2023-12-29,BBOZ,3.04
2023-12-29,BGBL,56.37
2023-12-29,ETHI,12.98
2023-12-29,GEAR,27.38
2023-12-29,GGOV,15.08
2023-12-29,CYBR,10.83
2023-12-29,NDQ,37.48
2024-01-02,A123,126.56
2024-01-02,AAA,50.10
2024-01-02,BBOZ,3.00
2024-01-02,BGBL,56.27
2024-01-02,ETHI,12.93
2024-01-02,GEAR,27.11
2024-01-02,GGOV,14.79
2024-01-02,CYBR,10.82
2024-01-02,NDQ,37.37
2024-01-03,A123,124.78
2024-01-03,AAA,50.11
2024-01-03,BBOZ,3.12
2024-01-03,BGBL,56.29
2024-01-03,ETHI,12.91
2024-01-03,GEAR,26.29
2024-01-03,GGOV,14.75
2024-01-03,CYBR,10.65
2024-01-03,NDQ,37.03
2024-01-04,A123,124.34
2024-01-04,AAA,50.12
2024-01-04,BBOZ,3.14
2024-01-04,BGBL,56.10
2024-01-04,ETHI,12.83
2024-01-04,GEAR,26.08
2024-01-04,GGOV,14.78
2024-01-04,CYBR,10.53
2024-01-04,NDQ,36.85
2024-01-05,A123,124.24
2024-01-05,AAA,50.12
2024-01-05,BBOZ,3.15
2024-01-05,BGBL,56.36
2024-01-05,ETHI,12.89
2024-01-05,GEAR,25.98
2024-01-05,GGOV,14.61
2024-01-05,CYBR,10.56
2024-01-05,NDQ,36.87
2024-01-08,A123,123.62
2024-01-08,AAA,50.14
2024-01-08,BBOZ,3.20
2024-01-08,BGBL,56.32
2024-01-08,ETHI,12.92
2024-01-08,GEAR,25.69
2024-01-08,GGOV,14.43
2024-01-08,CYBR,10.50
2024-01-08,NDQ,36.87
2024-01-09,A123,124.80
2024-01-09,AAA,50.15
2024-01-09,BBOZ,3.13
2024-01-09,BGBL,56.93
2024-01-09,ETHI,13.11
2024-01-09,GEAR,26.24
2024-01-09,GGOV,14.54
2024-01-09,CYBR,10.75
2024-01-09,NDQ,37.53
2024-01-10,A123,123.93
2024-01-10,AAA,50.15
2024-01-10,BBOZ,3.18
2024-01-10,BGBL,56.94
2024-01-10,ETHI,13.15
2024-01-10,GEAR,25.82
2024-01-10,GGOV,14.50
2024-01-10,CYBR,10.91
2024-01-10,NDQ,37.69
2024-01-11,A123,124.63
2024-01-11,AAA,50.16
2024-01-11,BBOZ,3.13
2024-01-11,BGBL,57.33
2024-01-11,ETHI,13.25
2024-01-11,GEAR,26.13
2024-01-11,GGOV,14.47
2024-01-11,CYBR,11.07
2024-01-11,NDQ,38.00
2024-01-12,A123,124.27
2024-01-12,AAA,50.16
2024-01-12,BBOZ,3.16
2024-01-12,BGBL,57.27
2024-01-12,ETHI,13.27
2024-01-12,GEAR,25.99
2024-01-12,GGOV,14.55
2024-01-12,CYBR,11.19
2024-01-12,NDQ,37.97
2024-01-15,A123,124.50
2024-01-15,AAA,50.17
2024-01-15,BBOZ,3.15
2024-01-15,BGBL,57.51
2024-01-15,ETHI,13.28
2024-01-15,GEAR,26.04
2024-01-15,GGOV,14.50
2024-01-15,CYBR,11.34
2024-01-15,NDQ,38.16
2024-01-16,A123,123.07
2024-01-16,AAA,50.19
2024-01-16,BBOZ,3.24
2024-01-16,BGBL,57.75
2024-01-16,ETHI,13.35
2024-01-16,GEAR,25.36
2024-01-16,GGOV,14.38
2024-01-16,CYBR,11.33
2024-01-16,NDQ,38.37
2024-01-17,A123,122.67
2024-01-17,AAA,50.19
2024-01-17,BBOZ,3.26
2024-01-17,BGBL,57.99
2024-01-17,ETHI,13.45
2024-01-17,GEAR,25.17
2024-01-17,GGOV,14.21
2024-01-17,CYBR,11.43
2024-01-17,NDQ,38.73
2024-01-18,A123,121.95
2024-01-18,AAA,50.19
2024-01-18,BBOZ,3.32
2024-01-18,BGBL,57.76
2024-01-18,ETHI,13.44
2024-01-18,GEAR,24.82
2024-01-18,GGOV,14.19
2024-01-18,CYBR,11.40
2024-01-18,NDQ,38.67
2024-01-19,A123,123.23
2024-01-19,AAA,50.20
2024-01-19,BBOZ,3.24
2024-01-19,BGBL,58.08
2024-01-19,ETHI,13.53
2024-01-19,GEAR,25.41
2024-01-19,GGOV,14.00
2024-01-19,CYBR,11.51
2024-01-19,NDQ,39.26
2024-01-22,A123,124.05
2024-01-22,AAA,50.23
2024-01-22,BBOZ,3.19
2024-01-22,BGBL,58.73
2024-01-22,ETHI,13.72
2024-01-22,GEAR,25.80
2024-01-22,GGOV,14.19
2024-01-22,CYBR,11.62
2024-01-22,NDQ,40.04
2024-01-23,A123,124.78
2024-01-23,AAA,50.22
2024-01-23,BBOZ,3.15
2024-01-23,BGBL,58.70
2024-01-23,ETHI,13.70
2024-01-23,GEAR,26.10
2024-01-23,GGOV,14.18
2024-01-23,CYBR,11.74
2024-01-23,NDQ,39.83
2024-01-24,A123,124.86
2024-01-24,AAA,50.23
